,G,2010 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
92,2,2017-04-19,WC1,HOU,,OKC,2,W (+4),1,37:27,7,17,.412,3,7,.429,18,20,.900,0,4,4,8,1,0,7,5,35,23.9,+2
93,3,2017-04-21,WC1,HOU,@,OKC,3,L (-2),1,38:18,11,21,.524,4,12,.333,18,18,1.000,1,5,6,6,0,1,7,5,44,31.8,+1
94,4,2017-04-23,WC1,HOU,@,OKC,4,W (+4),1,39:18,5,16,.313,0,7,.000,6,7,.857,0,7,7,8,1,0,7,3,16,6.9,0
95,5,2017-04-25,WC1,HOU,,OKC,5,W (+6),1,37:45,8,25,.320,2,13,.154,16,17,.941,1,7,8,4,3,2,5,4,34,22.7,-6
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,6,2017-05-01,WCS,HOU,@,SAS,1,W (+27),1,31:20,6,13,.462,3,8,.375,5,5,1.000,0,1,1,14,4,0,3,3,20,23.2,+18
98,7,2017-05-03,WCS,HOU,@,SAS,2,L (-25),1,33:39,3,17,.176,2,9,.222,5,6,.833,1,6,7,10,2,0,4,4,13,7.8,-13
99,8,2017-05-05,WCS,HOU,,SAS,3,L (-11),1,40:00,14,28,.500,5,13,.385,10,11,.909,1,1,2,5,3,0,5,4,43,29.5,-14
100,9,2017-05-07,WCS,HOU,,SAS,4,W (+21),1,34:33,10,18,.556,4,11,.364,4,6,.667,1,4,5,12,2,0,4,4,28,25.3,+28
101,10,2017-05-09,WCS,HOU,@,SAS,5,L (-3),1,43:23,11,24,.458,4,15,.267,7,8,.875,1,9,10,10,1,1,9,4,33,21.7,-6
102,11,2017-05-11,WCS,HOU,,SAS,6,L (-39),1,36:36,2,11,.182,2,9,.222,4,6,.667,0,3,3,7,1,1,6,6,10,1.4,-28
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,2018-04-15,WC1,HOU,,MIN,1,W (+3),1,40:55,15,26,.577,7,12,.583,7,9,.778,2,2,4,8,2,0,3,2,44,36.8,+5
105,2,2018-04-18,WC1,HOU,,MIN,2,W (+20),1,30:46,2,18,.111,1,10,.100,7,8,.875,0,4,4,7,3,3,3,2,12,7.2,+1
106,3,2018-04-21,WC1,HOU,@,MIN,3,L (-16),1,36:04,9,21,.429,3,8,.375,8,10,.800,0,7,7,7,1,0,4,2,29,20.3,-3
107,4,2018-04-23,WC1,HOU,@,MIN,4,W (+19),1,33:15,12,26,.462,5,11,.455,7,7,1.000,0,4,4,3,4,1,1,4,36,28.0,+21
108,5,2018-04-25,WC1,HOU,,MIN,5,W (+18),1,37:36,8,21,.381,4,11,.364,4,4,1.000,1,4,5,12,2,2,3,2,24,22.4,+16
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,6,2018-04-29,WCS,HOU,,UTA,1,W (+14),1,36:55,12,26,.462,7,12,.583,10,11,.909,1,7,8,7,1,0,3,2,41,32.1,+15
111,7,2018-05-02,WCS,HOU,,UTA,2,L (-8),1,36:29,9,22,.409,2,10,.200,12,13,.923,2,4,6,11,2,0,2,5,32,28.1,0
112,8,2018-05-04,WCS,HOU,@,UTA,3,W (+21),1,30:29,8,17,.471,2,8,.250,7,7,1.000,1,3,4,12,2,1,1,1,25,27.6,+29
113,9,2018-05-06,WCS,HOU,@,UTA,4,W (+13),1,36:24,8,22,.364,1,7,.143,7,8,.875,0,4,4,3,4,0,8,3,24,9.5,+16
114,10,2018-05-08,WCS,HOU,,UTA,5,W (+10),1,34:38,7,22,.318,1,7,.143,3,4,.750,1,3,4,4,2,0,3,3,18,7.2,+7
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,11,2018-05-14,WCF,HOU,,GSW,1,L (-13),1,35:08,14,24,.583,5,9,.556,8,10,.800,1,3,4,7,1,0,4,4,41,30.9,-7
117,12,2018-05-16,WCF,HOU,,GSW,2,W (+22),1,33:45,9,24,.375,3,15,.200,6,6,1.000,0,10,10,3,1,0,4,3,27,14.7,+22
118,13,2018-05-20,WCF,HOU,@,GSW,3,L (-41),1,32:33,7,16,.438,2,6,.333,4,5,.800,0,5,5,9,1,1,4,2,20,15.9,-19
119,14,2018-05-22,WCF,HOU,@,GSW,4,W (+3),1,43:26,11,26,.423,3,12,.250,5,5,1.000,2,2,4,4,3,2,2,3,30,22.2,-5
120,15,2018-05-24,WCF,HOU,,GSW,5,W (+4),1,38:57,5,21,.238,0,11,.000,9,9,1.000,0,3,3,4,2,0,6,2,19,5.2,+8
121,16,2018-05-26,WCF,HOU,@,GSW,6,L (-29),1,40:26,10,24,.417,4,12,.333,8,9,.889,2,5,7,9,3,0,9,4,32,20.4,-19
122,17,2018-05-28,WCF,HOU,,GSW,7,L (-9),1,42:51,12,29,.414,2,13,.154,6,8,.750,1,5,6,6,4,1,5,2,32,21.0,-13
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1,2019-04-14,WC1,HOU,,UTA,1,W (+32),1,32:41,11,26,.423,4,10,.400,3,3,1.000,2,6,8,10,0,1,3,5,29,21.1,+18
125,2,2019-04-17,WC1,HOU,,UTA,2,W (+20),1,33:26,11,24,.458,6,13,.462,4,5,.800,2,11,13,10,0,1,8,2,32,22.8,+24
126,3,2019-04-20,WC1,HOU,@,UTA,3,W (+3),1,38:48,3,20,.150,2,13,.154,14,16,.875,0,4,4,10,6,1,4,5,22,17.3,+4
127,4,2019-04-22,WC1,HOU,@,UTA,4,L (-16),1,38:19,8,19,.421,6,12,.500,8,8,1.000,0,3,3,4,2,0,8,2,30,16.8,-12
128,5,2019-04-24,WC1,HOU,,UTA,5,W (+7),1,38:42,10,26,.385,3,12,.250,3,5,.600,1,5,6,6,3,4,5,5,26,16.2,+19
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,6,2019-04-28,WCS,HOU,@,GSW,1,L (-4),1,38:40,9,28,.321,4,16,.250,13,14,.929,0,4,4,6,3,0,4,3,35,21.8,+3
131,7,2019-04-30,WCS,HOU,@,GSW,2,L (-6),1,34:24,9,19,.474,3,7,.429,8,9,.889,0,7,7,4,1,0,6,4,29,17.2,-9
132,8,2019-05-04,WCS,HOU,,GSW,3,W (+5),1,45:26,14,32,.438,5,13,.385,8,8,1.000,2,7,9,6,1,0,3,4,41,28.3,-4
133,9,2019-05-06,WCS,HOU,,GSW,4,W (+4),1,39:57,13,29,.448,6,17,.353,6,8,.750,1,9,10,4,0,2,2,4,38,26.1,+7
134,10,2019-05-08,WCS,HOU,@,GSW,5,L (-5),1,44:53,10,16,.625,3,9,.333,8,10,.800,0,4,4,8,4,1,2,4,31,30.9,0
135,11,2019-05-10,WCS,HOU,,GSW,6,L (-5),1,38:54,11,25,.440,6,15,.400,7,12,.583,1,7,8,5,4,0,6,3,35,23.0,-10
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1,2020-08-18,WC1,HOU,,OKC,1,W (+15),1,34:13,12,22,.545,6,13,.462,7,8,.875,2,9,11,3,0,0,3,4,37,27.6,+10
138,2,2020-08-20,WC1,HOU,,OKC,2,W (+13),1,35:48,5,16,.313,2,11,.182,9,9,1.000,0,5,5,9,3,1,0,4,21,21.7,-1
139,3,2020-08-22,WC1,HOU,@,OKC,3,L (-12),1,37:41,12,27,.444,3,13,.231,11,15,.733,0,7,7,8,1,0,1,6,38,27.6,+6
140,4,2020-08-24,WC1,HOU,@,OKC,4,L (-3),1,42:49,11,25,.440,6,15,.400,4,5,.800,1,7,8,15,4,0,6,5,32,27.8,+2
141,5,2020-08-29,WC1,HOU,,OKC,5,W (+34),1,28:24,11,15,.733,4,8,.500,5,6,.833,0,2,2,5,1,1,3,3,31,26.1,+28
142,6,2020-08-31,WC1,HOU,@,OKC,6,L (-4),1,38:38,11,22,.500,3,11,.273,7,8,.875,1,7,8,7,0,0,5,2,32,22.5,+6
143,7,2020-09-02,WC1,HOU,,OKC,7,W (+2),1,37:04,4,15,.267,1,9,.111,8,9,.889,1,2,3,9,2,3,4,5,17,13.4,+9
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,8,2020-09-04,WCS,HOU,@,LAL,1,W (+15),1,33:56,12,20,.600,3,6,.500,9,12,.750,0,2,2,5,2,1,5,2,36,26.6,0
146,9,2020-09-06,WCS,HOU,@,LAL,2,L (-8),1,39:27,6,12,.500,4,8,.500,11,13,.846,0,2,2,7,2,0,5,2,27,21.9,+8
147,10,2020-09-08,WCS,HOU,,LAL,3,L (-10),1,38:04,11,23,.478,4,9,.444,7,7,1.000,3,6,9,9,0,0,2,2,33,28.7,-7
148,11,2020-09-10,WCS,HOU,,LAL,4,L (-10),1,39:25,2,11,.182,1,6,.167,16,20,.800,0,4,4,10,2,3,5,3,21,18.6,0
149,12,2020-09-12,WCS,HOU,@,LAL,5,L (-23),1,42:19,12,20,.600,2,8,.250,4,4,1.000,4,2,6,5,1,1,6,5,30,21.4,-29
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1,2021-05-22,EC1,BRK,,BOS,1,W (+11),1,36:13,5,13,.385,2,8,.250,9,10,.900,0,9,9,8,4,1,3,2,21,22.7,+2
152,2,2021-05-25,EC1,BRK,,BOS,2,W (+22),1,27:07,6,12,.500,4,8,.500,4,4,1.000,2,3,5,7,1,0,2,3,20,19.0,+31
153,3,2021-05-28,EC1,BRK,@,BOS,3,L (-6),1,39:14,11,18,.611,7,12,.583,12,13,.923,1,6,7,10,1,0,2,1,41,40.5,+13
154,4,2021-05-30,EC1,BRK,@,BOS,4,W (+15),1,40:29,8,12,.667,2,5,.400,5,6,.833,1,4,5,18,2,2,6,3,23,28.1,+8
155,5,2021-06-01,EC1,BRK,,BOS,5,W (+14),1,39:18,10,17,.588,4,7,.571,10,11,.909,1,9,10,10,2,2,1,4,34,36.9,+22
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,6,2021-06-05,ECS,BRK,,MIL,1,W (+8),1,0:43,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,2021-06-07,,BRK,,MIL,,W (+39),Inactive,,,,,,,,,,,,,,,,,,,,,
160,,2021-06-10,,BRK,@,MIL,,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
161,,2021-06-13,,BRK,@,MIL,,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
162,7,2021-06-15,ECS,BRK,,MIL,5,W (+6),1,45:39,1,10,.100,0,8,.000,3,3,1.000,0,6,6,8,0,0,4,3,5,0.6,+4
163,8,2021-06-17,ECS,BRK,@,MIL,6,L (-15),1,39:59,5,9,.556,3,6,.500,3,5,.600,1,4,5,7,4,0,4,4,16,16.1,-19
164,9,2021-06-19,ECS,BRK,,MIL,7,L (-4),1,53:00,5,17,.294,2,12,.167,10,10,1.000,1,8,9,9,1,1,4,3,22,18.0,-4
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1,2022-04-16,EC1,PHI,,TOR,1,W (+20),1,40:08,6,17,.353,4,7,.571,6,7,.857,2,3,5,14,1,1,1,0,22,24.9,+14
167,2,2022-04-18,EC1,PHI,,TOR,2,W (+15),1,41:19,3,9,.333,1,4,.250,7,8,.875,1,5,6,6,3,2,5,2,14,13.5,+17
168,3,2022-04-20,EC1,PHI,@,TOR,3,W (+3),1,38:05,7,13,.538,2,4,.500,3,5,.600,2,4,6,10,0,0,3,6,19,16.1,0
169,4,2022-04-23,EC1,PHI,@,TOR,4,L (-8),1,42:13,5,17,.294,2,8,.250,10,11,.909,1,4,5,9,1,3,4,2,22,18.2,-14
170,5,2022-04-25,EC1,PHI,,TOR,5,L (-15),1,39:37,4,11,.364,2,6,.333,5,6,.833,0,2,2,7,1,1,5,1,15,10.3,-10
171,6,2022-04-28,EC1,PHI,@,TOR,6,W (+35),1,42:04,7,12,.583,2,5,.400,6,6,1.000,0,6,6,15,0,0,3,3,22,24.5,+38
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,7,2022-05-02,ECS,PHI,@,MIA,1,L (-14),1,34:35,5,13,.385,2,7,.286,4,4,1.000,1,8,9,5,0,0,5,2,16,9.7,-8
174,8,2022-05-04,ECS,PHI,@,MIA,2,L (-16),1,41:27,6,15,.400,1,5,.200,7,7,1.000,1,3,4,9,0,0,3,3,20,15.6,-10
175,9,2022-05-06,ECS,PHI,,MIA,3,W (+20),1,37:53,4,11,.364,1,7,.143,8,8,1.000,1,7,8,6,0,1,7,4,17,10.0,+27
176,10,2022-05-08,ECS,PHI,,MIA,4,W (+8),1,40:51,8,18,.444,6,10,.600,9,10,.900,1,6,7,9,1,0,6,2,31,24.2,+8
177,11,2022-05-10,ECS,PHI,@,MIA,5,L (-35),1,37:19,5,13,.385,2,6,.333,2,3,.667,1,5,6,4,1,0,4,2,14,7.7,-29
178,12,2022-05-12,ECS,PHI,,MIA,6,L (-9),1,42:59,4,9,.444,3,7,.429,0,0,,0,4,4,9,1,0,4,2,11,10.0,-16
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1,2023-04-15,EC1,PHI,,BRK,1,W (+20),1,36:05,8,21,.381,7,13,.538,0,0,,1,3,4,13,1,0,4,3,23,18.0,+20
181,2,2023-04-17,EC1,PHI,,BRK,2,W (+12),1,38:29,3,13,.231,2,8,.250,0,0,,0,5,5,7,4,0,5,2,8,4.7,+5
182,3,2023-04-20,EC1,PHI,@,BRK,3,W (+5),1,29:22,8,15,.533,3,7,.429,2,3,.667,1,4,5,4,0,0,2,2,21,15.2,-15
183,4,2023-04-22,EC1,PHI,@,BRK,4,W (+8),1,40:22,4,18,.222,2,5,.400,7,8,.875,0,8,8,11,1,1,3,3,17,13.2,+11
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,5,2023-05-01,ECS,PHI,@,BOS,1,W (+4),1,39:21,17,30,.567,7,14,.500,4,4,1.000,0,1,1,6,2,0,3,4,45,32.7,+8
186,6,2023-05-03,ECS,PHI,@,BOS,2,L (-34),1,32:20,2,14,.143,0,6,.000,8,10,.800,1,9,10,4,0,0,0,2,12,7.6,-21
